,IBM,KO,LMT,MCD,MSFT,SBUX,TTE,UBER,V,XOM,Mkt-RF,SMB,HML,RMW,CMA,RF
2022-09-30,110.84429931640624,53.49632263183594,371.0397338867188,223.0988006591797,229.7793884277344,81.566162109375,42.45143508911133,26.5,175.53001403808594,82.98202514648438,-1.42,0.59,0.27,-0.66,-0.09,0.009
2022-10-03,113.36328125,54.09794235229492,383.958740234375,227.5464630126953,237.51431274414065,82.88268280029297,44.92441177368164,26.71999931335449,179.48226928710938,87.36351013183594,2.55,0.01,0.68,0.9,0.36,0.011
2022-10-04,117.08576202392578,54.22208786010742,390.0773010253906,230.6018218994141,245.54527282714844,85.68028259277344,46.904632568359375,29.190000534057617,183.4345245361328,90.54745483398438,3.3,0.72,-0.07,-1.04,-0.3,0.011
2022-10-05,117.3096694946289,53.70641326904297,386.6194152832031,231.1722869873047,245.8609771728516,87.23882293701172,46.7859992980957,29.18000030517578,185.4304351806641,94.20661163330078,-0.22,-0.37,0.06,0.35,0.16,0.011
2022-10-06,114.0350112915039,52.55091857910156,383.8338928222656,226.9759979248047,243.48326110839844,86.4934310913086,46.27497863769531,29.729999542236328,183.375244140625,97.00086975097656,-0.86,0.46,0.12,-0.11,-0.47,0.011
2022-10-07,110.85363006591795,52.054344177246094,388.0121765136719,225.46766662597656,231.10140991210935,84.24760437011719,46.45748901367188,28.06999969482422,181.63626098632807,96.0219268798828,-2.91,-0.23,1.68,0.97,1.46,0.011
2022-10-10,109.8553695678711,51.93975067138672,393.8040771484375,227.1693572998047,226.17828369140625,84.27664184570312,45.17080307006836,27.530000686645508,180.00592041015625,93.94048309326172,-0.81,0.24,0.76,1.52,0.4,0.011
2022-10-11,109.90201568603516,52.02569580078125,394.8319091796875,229.1998291015625,222.3897399902344,83.45381164550781,44.53202438354492,24.65999984741211,177.00221252441406,93.14212036132812,-0.7,0.62,0.32,0.57,0.65,0.011
2022-10-12,109.68743133544922,52.65596389770508,381.73040771484375,229.20950317382807,222.7251739501953,84.09272003173828,44.09400177001953,25.979999542236328,176.11297607421875,93.5508041381836,-0.27,0.02,0.02,-0.02,0.01,0.011
2022-10-13,113.62450408935548,53.35308074951172,389.9332275390625,238.57861328125,231.10140991210935,86.51280212402344,46.01947021484375,25.0,182.4563446044922,96.82028198242188,2.4,-0.27,1.57,0.55,0.95,0.011
2022-10-14,111.99182891845705,52.503173828125,374.0365295410156,235.10748291015625,225.49752807617188,83.60871124267578,46.53961563110352,24.709999084472656,180.4406890869141,94.27313995361328,-2.46,-0.21,1.2,0.53,1.58,0.011
2022-10-17,113.37259674072266,53.18118667602539,381.6246948242188,238.3175506591797,234.34732055664065,86.05782318115234,47.08713912963867,25.940000534057617,183.039306640625,95.63224792480467,2.74,0.37,-1.43,-1.01,-1.18,0.011
2022-10-18,114.69739532470705,53.897403717041016,414.79150390625,240.9378204345703,235.3043365478516,86.11589813232422,47.01414108276367,27.61000061035156,184.9364013671875,95.80333709716795,1.19,-0.13,0.01,-0.43,0.03,0.011
2022-10-19,114.29622650146484,53.43902587890625,422.5909118652344,242.44615173339844,233.31141662597656,84.72193145751953,47.50690460205078,27.530000686645508,184.18548583984372,98.64511108398438,-0.87,-1.2,1.21,0.7,0.77,0.011
2022-10-20,119.6980438232422,52.598670959472656,426.7980041503906,241.49859619140625,232.98580932617188,84.01527404785156,47.31527328491211,27.8700008392334,184.98580932617188,98.7781753540039,-0.8,-0.33,-0.43,-0.61,0.12,0.011
2022-10-21,121.19075012207033,53.43902587890625,436.6625671386719,246.12030029296875,238.87582397460935,85.77708435058594,47.61641693115234,28.020000457763672,188.09820556640625,100.6125030517578,2.3,-0.05,0.1,0.61,-0.21,0.011
